grant_key,gm_key,legacy_gm_key,ein,gm_name,gm_state,gm_country,gm_country_tran,gm_city,gm_county,gm_msa_code,gm_msa_name,gm_cong_dist,gm_type,gm_organization_code,gm_organization_tran,gm_estab_yr,family_fdn_flag,recipient_key,legacy_recipient_key,recip_ein,recip_name,recip_city,recip_state,recip_zipcode,recip_country,recip_country_tran,recip_county,msa_code,msa_name,recip_cong_dist,recip_location,recip_subject_code,recip_subject_tran,recip_population_code,recip_population_tran,recip_organization_code,recip_organization_tran,recip_strategy_code,recip_strategy_tran,recip_unit,auth_flag,amount,duration,yr_issued,description,grant_subject_code,grant_subject_tran,activity_override,activity_override_tran,grant_population_code,grant_population_tran,grant_strategy_code,grant_strategy_tran,grant_transaction_code,grant_transaction_tran,paid_auth_flag,currency,unconverted_amt,fund_name,fund_type,fund_sub_type,program_area,edition,source_file_type,edms_status,edms_needs_review,edms_needs_review_geo,domestic_foreign_flag,developing_country,intl_countries,intl_countries_tran,intl_geonames,intl_geonames_tran,intl_geotree,intl_geotree_tran,dom_geonames,dom_geonames_tran,dom_geotree,dom_geotree_tran,is_media,descrip_and_name,city_country,lat,lon,geometry,tokens
19047313,213189,FAIR349,980543202,Esmée Fairbairn Foundation,,GB,United Kingdom,London,,     ,,,IF,,,1961,,432273,7365824,         ,Berkshire East and South Bucks Women's Aid,Slough,  ,SL1 2GP,GB,United Kingdom,,0,,,United Kingdom,SS070101; SJ020300,Domestic violence shelters; Domestic violence,PC040000; PG060100; PA010000,Women and girls; Victims of crime and abuse; Children and youth,EA000000,Non-governmental organizations,,,,Y,165350,36.0,2011,Toward the development of a male independent domestic violence advocacy service which will include a mapping exercise across the UK to ascertain provision for male victims and development of a national working group to improve standards,SS070101; SJ020300; SH050109; SR010300,Domestic violence shelters; Domestic violence; Geographic Information Systems; Freedom from violence and torture,SS070101,Domestic violence shelters,PA010000; PC050000; PG060100,Children and youth; Men and boys; Victims of crime and abuse,UN0000,Program support,TA00,Cash grants,A,GBP,103022.0,,Charitable gift funds,,,,eFile,Complete,,,F,,GB,United Kingdom,2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,False,Berkshire East and South Bucks Women's Aid Toward the development of a male independent domestic violence advocacy service which will include a mapping exercise across the UK to ascertain provision for male victims and development of a national working group to improve standards,"Slough, United Kingdom",51.51053839999999,-0.5950405999999999,POINT (-0.5950405999999999 51.51053839999999),"['toward', 'male', 'independent', 'domestic', 'violence', 'advocacy', 'service', 'include', 'map', 'exercise', 'across', 'uk', 'ascertain', 'provision', 'male', 'victims', 'national', 'work', 'group', 'improve', 'standards']"
32113726,204769,OMID004,201173866,"Omidyar Network Fund, Inc.",CA,US,United States,Redwood City,San Mateo,41860,"San Francisco-Oakland-Hayward, CA",14,FM,,,2004,Y,3629231,3629231,         ,Africa Check,London,  ,EC1A 4HD,GB,United Kingdom,,0,,,United Kingdom,SK040300; SK050000,Public integrity; Public administration,,,EA000000,Non-governmental organizations,UK0600,Ethics and accountability,,Y,165000,,2016,"To support grantee's charitable purposes, including geographic expansion of its assessment of claims using journalistic skills and evidence and publishing the results",SH010000; SD000000,News and public information; Philanthropy,SH010000,News and public information,,,UP0000,Presentations and productions,TA00,Cash grants,P,,,,,,,,DataStream 990PF XML,,,,F,,,,,,7001242,Africa,,,,,True,"Africa Check To support grantee's charitable purposes, including geographic expansion of its assessment of claims using journalistic skills and evidence and publishing the results","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['grantee', 'charitable', 'purpose', 'include', 'geographic', 'expansion', 'assessment', 'claim', 'use', 'journalistic', 'skills', 'evidence', 'publish', 'result']"
20113823,226517,BIGL004,         ,The National Lottery Community Fund,,GB,United Kingdom,London,,     ,,,IF,,,0,,549895,7603435,         ,Queen's Crescent Community Association,London,  ,NW5 4QE,GB,United Kingdom,,0,,,United Kingdom,SS000000,Human services,,,EA000000; EG000000,Non-governmental organizations; Multipurpose centers,,,,Y,164252,0.0,2013,"For This project will continue and develop the existing service which supports older people living in Camden to remain independent through providing access to healthy living activities, advice services and opportunities for social engagement including intergenerational activities. The project currently offers social activities such as a weekly film club, exercise classes, TaiChi and reflexology",SH040200,Film and video,SH040200,Film and video,,,UN0000,Program support,TA00,Cash grants,P,GBP,105000.0,,,,,,eFile,,,,F,,GB,United Kingdom,3333138,Camden,,,,,,,True,"Queen's Crescent Community Association For This project will continue and develop the existing service which supports older people living in Camden to remain independent through providing access to healthy living activities, advice services and opportunities for social engagement including intergenerational activities. The project currently offers social activities such as a weekly film club, exercise classes, TaiChi and reflexology","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['continue', 'exist', 'service', 'support', 'older', 'people', 'live', 'camden', 'remain', 'independent', 'provide', 'access', 'healthy', 'live', 'activities', 'advice', 'service', 'opportunities', 'social', 'engagement', 'include', 'intergenerational', 'activities', 'currently', 'offer', 'social', 'activities', 'weekly', 'film', 'club', 'exercise', 'class', 'taichi', 'reflexology']"
32813656,213189,FAIR349,980543202,Esmée Fairbairn Foundation,,GB,United Kingdom,London,,     ,,,IF,,,1961,,630810,7726922,         ,Signal Film and Media Limited,Barrow-In-Furness,  ,LA14 5QR,GB,United Kingdom,,0,,,United Kingdom,SH040200,Film and video,,,,,,,,Y,162035,36.0,2017,"Towards the core costs of an organisation that enables diverse communities to participate and learn digital film and media skills to develop social, educational and employment opportunities and progression.",SA050000; SH030102,Visual arts; Digital divide,SA050000,Visual arts,PG030200; PJ020000,Low-income people; Unemployed people,UA0000; UH0100; UK0700,General support; Public engagement and education; Equal access,TA00,Cash grants,A,GBP,120000.0,,,,,,eFile,Complete,,,F,,GB,United Kingdom,2656241,Barrow in Furness,,,,,,,True,"Signal Film and Media Limited Towards the core costs of an organisation that enables diverse communities to participate and learn digital film and media skills to develop social, educational and employment opportunities and progression.","Barrow-In-Furness, United Kingdom",54.108967,-3.218894,POINT (-3.218894 54.108967),"['towards', 'core', 'cost', 'organisation', 'enable', 'diverse', 'communities', 'participate', 'learn', 'digital', 'film', 'media', 'skills', 'social', 'educational', 'employment', 'opportunities', 'progression']"
18094158,46548,ROCK005,131659629,The Rockefeller Foundation,NY,US,United States,New York City,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",12,IF,,,1913,,572613,7633786,         ,Leaders Quest,Richmond,  ,TW10 6DG,GB,United Kingdom,,0,,,United Kingdom,ST040000; SR000000,International development; Human rights,PG030200,Low-income people,EA000000,Non-governmental organizations,,,,Y,160040,12.0,2011,"To convene leadership learning program to facilitate raising profile of and building more global stakeholder community for nascent field of Impact Sourcing, which seeks to create sustainable employment opportunities for poor and vulnerable populations. Grant made as part of Poverty Reduction through Information and Digital Employment (PRIDE) Initiative",SN020300; ST040000; SN020000; SH050201,Employment; International development; Economic development; Internet,SN020300,Employment,,,UN0000,Program support,TA00,Cash grants,A,,,,,,Poverty Reduction through Information and Digital Employment (PRIDE),,eFile,Complete,,,F,Y,KE,Kenya,192950,Republic of Kenya,,,,,,,True,"Leaders Quest To convene leadership learning program to facilitate raising profile of and building more global stakeholder community for nascent field of Impact Sourcing, which seeks to create sustainable employment opportunities for poor and vulnerable populations. Grant made as part of Poverty Reduction through Information and Digital Employment (PRIDE) Initiative","Richmond, United Kingdom",51.46131099999999,-0.303742,POINT (-0.303742 51.46131099999999),"['convene', 'leadership', 'learn', 'facilitate', 'raise', 'profile', 'build', 'global', 'stakeholder', 'nascent', 'field', 'impact', 'source', 'seek', 'create', 'sustainable', 'employment', 'opportunities', 'poor', 'vulnerable', 'populations', 'make', 'part', 'poverty', 'reduction', 'digital', 'employment', 'pride']"
19786446,160332,NATI029,521344831,National Endowment for Democracy,DC,US,United States,Washington,District of Columbia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",AL,PC,,,0,,630249,7726224,         ,Network of Democrats in Arab World,London,  ,EC1V 4PY,GB,United Kingdom,,0,,,United Kingdom,SK000000; SR000000,Public affairs; Human rights,,,,,,,,N,160000,12.0,2012,"To build the capacity of a nascent network of civil society groups. NDAW will organize and conduct eight three-day workshops that bring together staff and volunteers from a network of civil society partner organizations on media, human rights, and policy formation",SK040100; SR040000; SH030300; SK010000,Civic participation; Antidiscrimination; Media justice; Public policy,SK040100,Civic participation,,,UJ0200; UN0000; UK0000,"Conferences and exhibits; Program support; Policy, advocacy and systems reform",TA00,Cash grants,P,,,,,,NGO Strengthening,,eFile,Complete,,,F,Y,SY,Syria,163843,Syrian Arab Republic,,,,,,,True,"Network of Democrats in Arab World To build the capacity of a nascent network of civil society groups. NDAW will organize and conduct eight three-day workshops that bring together staff and volunteers from a network of civil society partner organizations on media, human rights, and policy formation","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['build', 'capacity', 'nascent', 'network', 'civil', 'society', 'group', 'ndaw', 'organize', 'conduct', 'eight', 'threeday', 'workshops', 'bring', 'together', 'staff', 'volunteer', 'network', 'civil', 'society', 'partner', 'organizations', 'media', 'human', 'right', 'policy', 'formation']"
24026383,164305,HUMA357,262583379,Humanity United,CA,US,United States,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",12,PC,,,2005,,317579,337518,980493088,Global Witness,London,  ,EC1N 2HS,GB,United Kingdom,,0,,,United Kingdom,SR020600,Environmental and resource rights,,,EA000000,Non-governmental organizations,UK0000,"Policy, advocacy and systems reform",,Y,160000,,2015,To ensure oil revenues in South Sudan effectively contribute to peace and stability and benefit its citizens through the effective implementation and enforcement of key transparency and accountability oil reforms as stipulated in the South Sudan peace deal signed in August 2015 in Addis Ababa.,ST080000; SR000000; SH010101; SN060300; SN010000,International peace and security; Human rights; Investigative journalism; Corporate social responsibility; Sustainable development,ST080000,International peace and security,PG030000,Economically disadvantaged people,UN0000,Program support,TA00,Cash grants,P,,,,,,,,eFile,Complete,,,F,Y,SS,South Sudan,7909807,South Sudan,,,,,,,False,Global Witness To ensure oil revenues in South Sudan effectively contribute to peace and stability and benefit its citizens through the effective implementation and enforcement of key transparency and accountability oil reforms as stipulated in the South Sudan peace deal signed in August 2015 in Addis Ababa.,"London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['ensure', 'oil', 'revenues', 'south', 'sudan', 'effectively', 'contribute', 'peace', 'stability', 'benefit', 'citizens', 'effective', 'implementation', 'enforcement', 'key', 'transparency', 'accountability', 'oil', 'reform', 'stipulate', 'south', 'sudan', 'peace', 'deal', 'sign', 'august', '2015', 'addis', 'ababa']"
32651578,6935,BBCC001,         ,BBC Children in Need,,GB,United Kingdom,Salford,,     ,,,PC,EF000000  ,Schools,1989,,549468,7602267,         ,42nd Street,Manchester,  ,M4 5AG,GB,United Kingdom,,0,,,United Kingdom,SE120700; SS050400,Mental health counseling; Youth organizing,PA010400; PH010400,Adolescents; People with psychosocial disabilities,,,,,,Y,159790,36.0,2016,This project will use creative social media to engage isolated and lonely LGBTQ young people aged 13-18 in Manchester developing their skills enabling friendships and improving mental wellbeing.,SH000000,Information and Communications,SH000000,Information and Communications,PC010000,LGBTQ people,UN0000,Program support,TA00,Cash grants,A,GBP,104528.0,,,,,,FC eFile,,,,F,,GB,United Kingdom,2635571; 2638671; 7281603,Trafford Park; Salford; Manchester City Centre,,,,,,,True,42nd Street This project will use creative social media to engage isolated and lonely LGBTQ young people aged 13-18 in Manchester developing their skills enabling friendships and improving mental wellbeing.,"Manchester, United Kingdom",53.4807593,-2.2426305,POINT (-2.2426305 53.4807593),"['creative', 'social', 'media', 'engage', 'isolate', 'lonely', 'lgbtq', 'young', 'people', 'age', '1318', 'manchester', 'develop', 'skills', 'enable', 'friendships', 'improve', 'mental', 'wellbeing']"
19821771,204671,HAML011,         ,Paul Hamlyn Foundation,,GB,United Kingdom,London,,     ,,,IF,,,1987,,723713,7843037,         ,Indefinite Films,London,  ,N15 6QP,GB,United Kingdom,,0,,,United Kingdom,,,,,,,,,Leave to Remain,N,158470,12.0,2012,For award to support the development and production of a film which depicts the experiences of three young asylum seekers. The film supported young people to develop acting skills and work with established professional actors in a drama filmed in London and Wales,SH040200; SS050400; SR040100,Film and video; Youth organizing; Immigrant rights,SH040200,Film and video,PA010400; PG010500,Adolescents; Asylum seekers,UN0000,Program support,TA00,Cash grants,A,GBP,100000.0,,,,,,eFile,Complete,,,F,,GB,United Kingdom,2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,True,Indefinite Films For award to support the development and production of a film which depicts the experiences of three young asylum seekers. The film supported young people to develop acting skills and work with established professional actors in a drama filmed in London and Wales,"London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['award', 'production', 'film', 'depict', 'experience', 'three', 'young', 'asylum', 'seekers', 'film', 'support', 'young', 'people', 'act', 'skills', 'work', 'establish', 'professional', 'actors', 'drama', 'film', 'london', 'wales']"
18270602,242044,NOMI001,         ,Social Tech Trust,,GB,United Kingdom,,,     ,,,CS,,,2008,,595714,7662424,         ,UK Youth,Telford,  ,,GB,United Kingdom,,0,,,United Kingdom,SS050400,Youth organizing,PA010400,Adolescents,EA000000,Non-governmental organizations,,,,Y,158470,12.0,2012,For intergenerational partnership aiming to promote digital inclusion of older people through training from young volunteers,SS050400; SH040700; SS090500,Youth organizing; Web media; Senior services,SS050400,Youth organizing,PA010400; PA020300,Adolescents; Seniors,UN0000,Program support,TA00,Cash grants,P,GBP,100000.0,,,,Web Access,,eFile,Complete,,,F,,GB,United Kingdom,2634343,West Midlands,,,,,,,True,UK Youth For intergenerational partnership aiming to promote digital inclusion of older people through training from young volunteers,"Telford, United Kingdom",52.678419,-2.445258,POINT (-2.445258 52.678419),"['intergenerational', 'partnership', 'aim', 'promote', 'digital', 'inclusion', 'older', 'people', 'young', 'volunteer']"
18270615,242044,NOMI001,         ,Social Tech Trust,,GB,United Kingdom,,,     ,,,CS,,,2008,,595721,7662431,         ,Podnosh,Birmingham,  ,B5 5SE,GB,United Kingdom,,0,,,United Kingdom,SN000000; SD040000,Community and economic development; Nonprofits,,,ED000000,Businesses,UD0000,Capacity-building and technical assistance,,Y,157044,12.0,2012,"To create a tool to change the way health and social care policy is shaped, by giving disconnected and disadvantaged people a direct and daily voice in policy making",SN000000; SE000000; SH040700,Community and economic development; Health; Web media,SN000000,Community and economic development,PG030200,Low-income people,UN0000; UK0000,"Program support; Policy, advocacy and systems reform",TA00,Cash grants,P,GBP,99100.0,,,,Web in Society,,eFile,Complete,,,F,,GB,United Kingdom,2655603,Birmingham,,,,,,,False,"Podnosh To create a tool to change the way health and social care policy is shaped, by giving disconnected and disadvantaged people a direct and daily voice in policy making","Birmingham, United Kingdom",52.48624299999999,-1.890401,POINT (-1.890401 52.48624299999999),"['create', 'tool', 'change', 'way', 'health', 'social', 'care', 'policy', 'shape', 'give', 'disconnect', 'disadvantage', 'people', 'direct', 'daily', 'voice', 'policy', 'make']"
16890507,242044,NOMI001,         ,Social Tech Trust,,GB,United Kingdom,,,     ,,,CS,,,2008,,504117,7536930,         ,Channel 4,London,  ,SW1P 2TX,GB,United Kingdom,,0,,,United Kingdom,SH040000,Communication media,,,,,,,,Y,154560,12.0,2010,"For project primarily targeted at young people aged 14-19, Battlefront is part of a suite of Channel 4 projects which are being developed as part of a new plan to deliver education remit beyond traditional television programmes using the Web and games",,,SH040000,Communication media,PA010400,Adolescents,UP0300; UP0500,Recordings; Online media,TA00,Cash grants,P,GBP,100000.0,,,,,,eFile,Complete,,,F,,GB,United Kingdom,2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,False,"Channel 4 For project primarily targeted at young people aged 14-19, Battlefront is part of a suite of Channel 4 projects which are being developed as part of a new plan to deliver education remit beyond traditional television programmes using the Web and games","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['primarily', 'target', 'young', 'people', 'age', '1419', 'battlefront', 'part', 'suite', 'channel', 'project', 'develop', 'part', 'plan', 'deliver', 'education', 'remit', 'beyond', 'traditional', 'television', 'program', 'use', 'web', 'game']"
24516973,242773,UNOU001,830411606,Unbound Philanthropy,NY,US,United States,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",22,IF,,,2004,Y,549636,7602513,         ,Just for Kids Law,London,  ,NW1 2NB,GB,United Kingdom,,0,,,United Kingdom,SJ030300; SJ040600,Juvenile justice; Legal aid,PA010000,Children and youth,EA000000,Non-governmental organizations,,,,Y,152868,24.0,2015,For support of a Communications Director as part of a project to improve communications capacity in the migration sector.,SR040100; SH040000,Immigrant rights; Communication media,SR040100,Immigrant rights,PA010000; PA010400; PG010100,Children and youth; Adolescents; Immigrants,,,TA00,Cash grants,A,GBP,100000.0,,,,,,eFile,Complete,,Y,F,,GB,United Kingdom,2635167,United Kingdom of Great Britain and Northern Ireland,,,,,,,False,Just for Kids Law For support of a Communications Director as part of a project to improve communications capacity in the migration sector.,"London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['communications', 'director', 'part', 'improve', 'communications', 'capacity', 'migration', 'sector']"
22000334,46548,ROCK005,131659629,The Rockefeller Foundation,NY,US,United States,New York City,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",12,IF,,,1913,,606218,7682554,         ,Guardian News and Media,London,  ,N1 9GU,GB,United Kingdom,,0,,,United Kingdom,SH010100,Journalism,,,ED000000,Businesses,,,,Y,151850,,2015,"For grant in support of generating and sharing insights from diverse, global journalists and editors around social and environmental themes and issues that may impact poor and vulnerable people in years that lie ahead",SH010100; SC000000; SR020000,Journalism; Environment; Social rights,SH010100,Journalism,PG030200,Low-income people,UN0000; UJ0000,Program support; Network-building and collaboration,TA00,Cash grants,A,,,,,,,,eFile,Complete,,,F,,,,,,7100068,Global Programs,,,,,True,"Guardian News and Media For grant in support of generating and sharing insights from diverse, global journalists and editors around social and environmental themes and issues that may impact poor and vulnerable people in years that lie ahead","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['generate', 'share', 'insights', 'diverse', 'global', 'journalists', 'editors', 'around', 'social', 'environmental', 'theme', 'issue', 'may', 'impact', 'poor', 'vulnerable', 'people', 'years', 'lie', 'ahead']"
32026331,236439,WELL070,986038021,Wellcome Trust,,GB,United Kingdom,London,,     ,,,IF,EA030200  ,Independent foundations,1936,,842593,49084,131599108,Cambridge University,Cambridge,  ,CB2 1TN,GB,United Kingdom,,0,,,United Kingdom,SB050300,University education,PJ050000,Academics,EB000000; EA040000; EF000000,Governments and agencies; Public charities; Schools,,,,Y,151497,23.0,2015,"Medical history of a WWII internment camp: creating online access to the voices of civilians interned by the Japanese on Singapore, 1942-1945",SA000000; SH000000,Arts and culture; Information and Communications,SA000000,Arts and culture,,,UP0000,Presentations and productions,TA00,Cash grants,A,GBP,99103.0,,,,,,FC eFile,,,,F,,,,,,,,,,,,False,"Cambridge University Medical history of a WWII internment camp: creating online access to the voices of civilians interned by the Japanese on Singapore, 1942-1945","Cambridge, United Kingdom",52.205337,0.121817,POINT (0.121817 52.205337),"['medical', 'history', 'wwii', 'internment', 'camp', 'create', 'access', 'voice', 'civilians', 'intern', 'japanese', 'singapore', '19421945']"
20113787,226517,BIGL004,         ,The National Lottery Community Fund,,GB,United Kingdom,London,,     ,,,IF,,,0,,511451,7547687,         ,Refugee Radio,Hove,  ,BN3 5HW,GB,United Kingdom,,0,,,United Kingdom,SH040400; SS090300,Radio; Immigrant services,PG010400,Refugees and displaced people,EA000000,Non-governmental organizations,,,,Y,150484,0.0,2013,"For This project is building upon a successful pilot in Brighton and Hove delivering a series of workshops to refugees and asylum seekers, helping them to build resilience around various issues such as PTSD, depression and sexual violence, which have a significant, negative impact on their lives. A volunteer-led panel will be trained to develop and deliver workshops and meet with agencies and local decision makers to help influence change in the community",,,SH040400,Radio,,,UJ0200,Conferences and exhibits,TA00,Cash grants,P,GBP,96199.0,,,,,,eFile,,,,F,,,,,,,,,,,,True,"Refugee Radio For This project is building upon a successful pilot in Brighton and Hove delivering a series of workshops to refugees and asylum seekers, helping them to build resilience around various issues such as PTSD, depression and sexual violence, which have a significant, negative impact on their lives. A volunteer-led panel will be trained to develop and deliver workshops and meet with agencies and local decision makers to help influence change in the community","Hove, United Kingdom",50.8279319,-0.168749,POINT (-0.168749 50.8279319),"['build', 'upon', 'successful', 'pilot', 'brighton', 'heave', 'deliver', 'series', 'workshops', 'refugees', 'asylum', 'seekers', 'help', 'build', 'resilience', 'around', 'various', 'issue', 'ptsd', 'depression', 'sexual', 'violence', 'significant', 'negative', 'impact', 'live', 'volunteerled', 'panel', 'train', 'deliver', 'workshops', 'meet', 'agencies', 'local', 'decision', 'makers', 'influence', 'change']"
23644358,114312,SKOL004,113659133,The Skoll Foundation,CA,US,United States,Palo Alto,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",18,FM,,,2002,Y,511521,7547775,981030160,British Documentary Film Foundation,London,  ,W1,GB,United Kingdom,,0,,,United Kingdom,SH040200; SH010104,Film and video; Advocacy journalism,,,EA000000,Non-governmental organizations,,,,Y,150000,12.0,2015,"Grant support for compelling visual storytelling initiatives, that accelerate the impact of social entrepreneurs.",SN060700; SH010104; SH040200,Social enterprise; Advocacy journalism; Film and video,SN060700,Social enterprise,,,UP0000,Presentations and productions,TA00,Cash grants,A,,,Skoll Fund,,,,,eFile,Complete,,,F,,,,,,,,,,,,True,"British Documentary Film Foundation Grant support for compelling visual storytelling initiatives, that accelerate the impact of social entrepreneurs.","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['compel', 'visual', 'storytelling', 'initiatives', 'accelerate', 'impact', 'social', 'entrepreneurs']"
19004734,112688,OPEN357,         ,Open Society Foundations,NY,US,United States,New York City,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",10,IF,,,0,,645989,7748416,         ,Release Leads,London,  ,EC1V 2NJ,GB,United Kingdom,,0,,,United Kingdom,,,,,,,,,,N,150000,12.0,2011,"The purpose of the grant is to provide support to Release Leads Ltd's project entitled Reaching the Public - A Global Web Based Platform and Increasing Real Global Capacity for Policy Reform, building on the achievements of the TalkingDrugs website (www.talkingdrugs.org) and the Nice People Take Drugs ('NPTD') campaign that reach out to and inform the public on issues relevant to drug policy. In this recent project, Release Leads Ltd will increase audience engagement with TalkingDrugs, specifically targeting countries that are underrepresented in the global debate on drug policy reform, and will continue to build the capacity of the reform movement through their volunteer program. TalkingDrugs will be used as a central organizing point for activities during 2011, engaging with activists all over the world leading up to the UN Commission on Narcotic Drugs and the 50th anniversary of the Single Convention on Narcotics",SH040702; SR000000,Websites; Human rights,,,,,UP0500; UK0000,"Online media; Policy, advocacy and systems reform",TA00,Cash grants,A,,,,,,Youth Initiative,,eFile,Complete,,,F,,,,,,7100068,Global Programs,,,,,True,"Release Leads The purpose of the grant is to provide support to Release Leads Ltd's project entitled Reaching the Public - A Global Web Based Platform and Increasing Real Global Capacity for Policy Reform, building on the achievements of the TalkingDrugs website (www.talkingdrugs.org) and the Nice People Take Drugs ('NPTD') campaign that reach out to and inform the public on issues relevant to drug policy. In this recent project, Release Leads Ltd will increase audience engagement with TalkingDrugs, specifically targeting countries that are underrepresented in the global debate on drug policy reform, and will continue to build the capacity of the reform movement through their volunteer program. TalkingDrugs will be used as a central organizing point for activities during 2011, engaging with activists all over the world leading up to the UN Commission on Narcotic Drugs and the 50th anniversary of the Single Convention on Narcotics","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['purpose', 'release', 'lead', 'ltd', 'entitle', 'reach', 'public', 'global', 'web', 'base', 'platform', 'increase', 'real', 'global', 'capacity', 'policy', 'reform', 'build', 'achievements', 'talkingdrugs', 'website', 'wwwtalkingdrugsorg', 'nice', 'people', 'take', 'drug', 'nptd', 'campaign', 'reach', 'inform', 'public', 'issue', 'relevant', 'drug', 'policy', 'recent', 'release', 'lead', 'ltd', 'increase', 'audience', 'engagement', 'talkingdrugs', 'specifically', 'target', 'countries', 'underrepresented', 'global', 'debate', 'drug', 'policy', 'reform', 'continue', 'build', 'capacity', 'reform', 'movement', 'volunteer', 'talkingdrugs', 'use', 'central', 'organize', 'point', 'activities', '2011', 'engage', 'activists', 'world', 'lead', 'un', 'commission', 'narcotic', 'drug', '50th', 'anniversary', 'single', 'convention', 'narcotics']"
24026382,164305,HUMA357,262583379,Humanity United,CA,US,United States,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",12,PC,,,2005,,317579,337518,980493088,Global Witness,London,  ,EC1N 2HS,GB,United Kingdom,,0,,,United Kingdom,SR020600,Environmental and resource rights,,,EA000000,Non-governmental organizations,UK0000,"Policy, advocacy and systems reform",,Y,150000,,2015,"To support objectives in Liberia is to ensure that the country’s natural resources contribute to sustainable and equitable development for its people and do not fuel corruption, human rights abuses or environmental degradation",SR020600; SN060300; SH010101; SR040000; SC030000; SN010000,Environmental and resource rights; Corporate social responsibility; Investigative journalism; Antidiscrimination; Natural resources; Sustainable development,SR020600,Environmental and resource rights,PG030200,Low-income people,UN0000,Program support,TA00,Cash grants,P,,,,,,,,eFile,Complete,,,F,Y,LR,Liberia,2275384,Republic of Liberia,,,,,,,False,"Global Witness To support objectives in Liberia is to ensure that the country’s natural resources contribute to sustainable and equitable development for its people and do not fuel corruption, human rights abuses or environmental degradation","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['objectives', 'liberia', 'ensure', 'country', 'natural', 'resources', 'contribute', 'sustainable', 'equitable', 'people', 'fuel', 'corruption', 'human', 'right', 'abuse', 'environmental', 'degradation']"
19926682,118500,HEWL001,941655673,The William and Flora Hewlett Foundation,CA,US,United States,Menlo Park,San Mateo,41860,"San Francisco-Oakland-Hayward, CA",18,IF,,,1966,,293308,241944,         ,Reproductive Health Matters,London,  ,,GB,United Kingdom,,0,,,United Kingdom,SE070000; SH010104,Reproductive health care; Advocacy journalism,PC040000; PG030200,Women and girls; Low-income people,EA000000,Non-governmental organizations,,,,Y,150000,12.0,2014,For the charitable purposes of the Reproductive Health Matters Journal. Reproductive Health Matters is a peer-reviewed journal published twice yearly that highlights research and commentary on global sexual and reproductive health and rights. The journal makes a special effort to include work from developing country researchers and has a broad readership globally. Supporting the journal's production and distribution would contribute to informing the field about research relevant to overcoming barriers to contraceptive uptake and providing access to safe abortion services,SE070000; SH010104; SH030300; SR010900; SE070100,Reproductive health care; Advocacy journalism; Media justice; Reproductive rights; Family planning,SE070000,Reproductive health care,PC040000; PG030200,Women and girls; Low-income people,UP0400; UC0000,Publications; Continuing support,TA00,Cash grants,A,,,,,,,,,Complete,,,F,Y,,,,,7100067; 7100068,Developing Countries; Global Programs,,,,,False,Reproductive Health Matters For the charitable purposes of the Reproductive Health Matters Journal. Reproductive Health Matters is a peer-reviewed journal published twice yearly that highlights research and commentary on global sexual and reproductive health and rights. The journal makes a special effort to include work from developing country researchers and has a broad readership globally. Supporting the journal's production and distribution would contribute to informing the field about research relevant to overcoming barriers to contraceptive uptake and providing access to safe abortion services,"London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['charitable', 'purpose', 'reproductive', 'health', 'matter', 'journal', 'reproductive', 'health', 'matter', 'peerreviewed', 'journal', 'publish', 'twice', 'yearly', 'highlight', 'research', 'commentary', 'global', 'sexual', 'reproductive', 'health', 'right', 'journal', 'make', 'special', 'effort', 'include', 'work', 'develop', 'country', 'researchers', 'broad', 'readership', 'globally', 'support', 'journal', 'production', 'distribution', 'would', 'contribute', 'inform', 'field', 'research', 'relevant', 'overcome', 'barriers', 'contraceptive', 'uptake', 'provide', 'access', 'safe', 'abortion', 'service']"
